en,te
I understand your problem.,మీ సమస్య నాకు అర్థమైంది.
I still love you very much.,నేను ఇప్పటికీ మీరు చాలా ప్రేమ.
I don't think they're safe.,వారు సురక్షితంగా కాదని నేను అనుకుంటున్నాను.
Why did you want to speak to me?,మీరు నాతో ఎందుకు మాట్లాడాలనుకున్నారు?
Tom refused to help Mary.,టోమ్ మేరీకి సహాయం చేయడానికి నిరాకరించాడు.
Tom tried to hide his confusion.,టోమ్ తన గందరగోళాన్ని దాచడానికి ప్రయత్నించాడు.
Tom refused to help Mary.,టామ్ మేరీకి సహాయం చేయడానికి నిరాకరించాడు.
Should I help Tom with his homework?,టామ్ తన ఇంటి పనికి నేను సహాయం చేయాలా?
We have nothing in common.,మాకు ఉమ్మడిగా ఏమీ లేదు.
When are we going to use it?,మేము దానిని ఎప్పుడు ఉపయోగించబోతున్నాం?
Don't dress like a tourist.,పర్యాటకుడిలా దుస్తులు ధరించవద్దు.
It's there now.,ఇది ఇప్పుడు ఉంది.
I'm considering becoming a French teacher.,నేను ఫ్రెంచ్ ఉపాధ్యాయుడిగా మారాలని ఆలోచిస్తున్నాను.
I knew this would be hard for you.,ఇది మీకు కష్టంగా ఉందని నాకు తెలుసు.
How does he do this?,అతను ఎలా ఈ చేస్తుంది?
The first girl I ever kissed was Mary.,నేను ముద్దు పెట్టుకున్న మొదటి అమ్మాయి మేరీ.
The rice crop is poor this year.,ఈ సంవత్సరం వరి పంట పేలవంగా ఉంది.
I have news about Tom.,టామ్ గురించి నాకు వార్తలు ఉన్నాయి.
Almost no one thinks that we are sisters.,మేము సోదరీమణులు అని దాదాపు ఎవరూ అనుకోరు.
Will anybody be at the station to meet me?,నన్ను కలవడానికి ఎవరైనా స్టేషన్‌లో ఉంటారా?
Tom isn't a student.,టామ్ విద్యార్థి కాదు.
forgot,నేను మర్చిపోయాను.
There isn't anywhere else to park.,పార్కింగ్ కోసం వేరే చోటు లేదు.
How much money do you think Tom makes?,టామ్ ఎంత డబ్బు సంపాదించాడని మీరు అనుకుంటున్నారు?
How do you feel now?,ఇప్పుడు మీరు ఎలా భావిస్తున్నారు?
Delhi has great historical significance as it was home to powerful people,శక్తివంతమైన వ్యక్తులకు నిలయంగా ఉన్న ఢిల్లీకి గొప్ప చారిత్రక ప్రాధాన్యత ఉంది
The worst is behind us.,చెత్త మన వెనుక ఉంది.
ram kills ravana.,రాముడు రావణుడిని చంపాడు.
She was in the hospital for six weeks because she was sick.,ఆమె అనారోగ్యంతో ఆరు వారాలపాటు ఆసుపత్రిలో ఉంది.
Tom wasn't smiling when he entered the room.,అతను గదిలోకి ప్రవేశించినప్పుడు టామ్ నవ్వలేదు.
Tom is here with me now.,టామ్ ఇప్పుడు నాతో ఇక్కడ ఉన్నారు.
Tom wanted to talk to Mary face to face.,టోమ్ మేరీతో ముఖాముఖి మాట్లాడాలనుకున్నాడు.
I helped.,నేను సహాయం చేసాను.
The milk tastes sour.,పాలు పుల్లని రుచి చూస్తాయి.
The burglar came into the house through this door.,దొంగ ఈ తలుపు ద్వారా ఇంట్లోకి వచ్చాడు.
What's Tom going to say about that?,దీని గురించి టామ్ ఏమి చెప్పబోతున్నాడు?
Nobody said a thing.,ఎవరూ ఏమీ అనలేదు.
Tom buys me things that I want.,టామ్ నాకు కావలసిన వస్తువులను కొంటాడు.
I love comedies.,నాకు కామెడీలు చాలా ఇష్టం.
Indian,భారతీయుడు
How do I know you didn't do it?,నేను ఎలా మీరు ఈ చేయలేదు తెలుసు?
Do you need it now?,మీరు ఇప్పుడు ఈ అవసరం?
I want to write this down.,నేను ఈ వ్రాయడానికి కావలసిన.
"A mile is about 1,600 meters.","ఒక మైలు 1,600 మీటర్లు."
I do not have to study Japanese.,నేను జపనీస్ అధ్యయనం అవసరం లేదు.
"Hey, get your hands off me.","హే, మీ చేతులు నా నుండి దూరంగా."
The girl I wanted to marry married somebody else.,నేను పెళ్లి చేసుకోవాలనుకున్న అమ్మాయి వేరొకరితో వివాహం చేసుకుంది.
Why are you yawning?,మీరు ఎందుకు ఆవలిస్తున్నారు?
I'm getting bored.,నేను విసుగు చెందుతున్నాను.
I knew that it was time to leave.,ఇది బయలుదేరే సమయం అని నాకు తెలుసు.
I got up at 8 o'clock today.,నేను ఈ రోజు 8 గంటలకు లేచాను.
Tom has been managing just fine.,టోమ్ బాగానే ఉన్నాడు.
"S. P. Balasubrahmanyam, was a legendary Indian playback singer and music composer who primarily worked in the Tamil, Telugu, Kannada, Hindi, and Malayalam film industries.","S. P. బాలసుబ్రహ్మణ్యం, ప్రముఖ భారతీయ నేపథ్య గాయకుడు మరియు సంగీత స్వరకర్త, అతను ప్రధానంగా తమిళం, తెలుగు, కన్నడ, హిందీ మరియు మలయాళ చిత్ర పరిశ్రమలలో పనిచేశాడు."
How many times did you visit your grandparents last year?,మీరు గత సంవత్సరం మీ తాతలు మరియు తాతలు సందర్శించారు ఎన్ని సార్లు?
Tom sells cars.,టామ్ కార్లను విక్రయిస్తాడు.
I can't let you do this.,నేను మీరు దీన్ని అనుమతించలేము.
I don't think that Tom knows the rules yet.,టామ్‌కు ఇంకా నియమాలు తెలుసని నేను అనుకోను.
Free books available,ఉచిత పుస్తకాలు అందుబాటులో ఉన్నాయి
I've been expecting your call.,నేను మీ కాల్ కోసం వేచి ఉన్నాను.
Sunil is an ultimate comedian.,సునీల్ అంతిమ హాస్యాస్పద నటుడు.
They are going to send up a rocket.,వారు రాకెట్ పంపబోతున్నారు.
Tom has written down a list of things we need to do.,టామ్ మనం చేయవలసిన పనుల జాబితాను వ్రాశాడు.
She's thirty-three.,ఆమె ముప్పై మూడు సంవత్సరాల.
I'm sure it'll pass.,ఇది పాస్ ఉంటుంది నేను ఖచ్చితంగా ఉన్నాను.
About how much will it cost?,దీని ధర ఎంత?
He goes fishing every other day.,అతను ప్రతిరోజూ చేపలు పట్టడానికి వెళ్తాడు.
"Tom is 13, but he still believes in Santa.","టామ్కు 13 సంవత్సరాలు, కానీ అతను ఇప్పటికీ శాంటాపై నమ్మకం కలిగి ఉన్నాడు."
I don't think that Tom knows the rules yet.,టామ్ ఇంకా నియమాలను తెలుసునని నేను అనుకోను.
His legs are long.,అతని కాళ్ళు పొడవుగా ఉన్నాయి.
Here are your wages for the last month.,ఇక్కడ మీ జీతాలు గత నెల కోసం.
Sunil is an ultimate comedian.,సునీల్ అంతిమ హాస్యనటుడు.
"Telugu, english, tamil, french","తెలుగు, ఇంగ్లీష్, తమిళ, ఫ్రెంచ్"
I wasn't looking at you.,నేను మీరు చూడటం లేదు.
The party finished at nine.,పార్టీ తొమ్మిదికి ముగిసింది.
Everything,అన్నిటికీ.
The computer is broken.,కంప్యూటర్ విరిగిపోయింది.
I told Tom you'd wait.,నేను టోమ్ను వేచి ఉండమని చెప్పాను.
Tom has written a book about birds.,టామ్ పక్షుల గురించి ఒక పుస్తకం రాశాడు.
I can't let you do this.,నేను దీన్ని మీకు అనుమతించలేను.
Tom handed Mary a check for half a million dollars.,టోమ్ మేరీకి ఒక అర్ధ మిలియన్ డాలర్ల చెక్ ఇచ్చాడు.
Your safety isn't our concern.,మీ భద్రత మా ఆందోళన కాదు.
Sanskrit is an ancient language that originated in the Indian subcontinent.,సంస్కృత భాష అనేది భారతీయ ఉపఖండంలో ఉద్భవించిన ఒక పురాతన భాష.
I feel very guilty.,నేను చాలా నేరాన్ని భావిస్తున్నాను.
I have to take my medicine every six hours.,ప్రతి ఆరు గంటలకు నా medicine షధం తీసుకోవాలి.
She is anxious about your health.,ఆమె మీ ఆరోగ్యం గురించి ఆందోళన చెందుతుంది.
I'm not as brave as Tom.,నేను టామ్ వలె ధైర్యంగా లేను.
All the children like you.,అన్ని పిల్లలు మీరు వంటి.
Whales feed on small fish.,తిమింగలాలు చిన్న చేపలను తింటాయి.
There was a tall tree in front of my house.,నా ఇంటి ముందు ఒక పొడవైన చెట్టు ఉంది.
Nobody's going anywhere.,ఎవరూ ఎక్కడా వెళ్తున్నారు.
Please don't tell anyone I did that.,నేను అలా చేశానని ఎవరికీ చెప్పవద్దు.
I know what I want.,నేను ఏమి కోరుకుంటున్నారో నాకు తెలుసు.
She drives an imported car.,ఆమె దిగుమతి చేసుకున్న కారును నడుపుతుంది.
"Many men want to be thin, too.",చాలామంది పురుషులు కూడా సన్నగా ఉండాలని కోరుకుంటారు.
Tom was obviously scared.,టామ్ స్పష్టంగా భయపడ్డాడు.
We were kids together.,మేము కలిసి పిల్లలు.
He advised me not to believe what she says.,ఆమె మాటలను నమ్మవద్దని సలహా ఇచ్చాడు.
Shreya Ghoshal is a very popular and talented Indian playback singer.,శ్రేయా ఘోషల్ చాలా ప్రజాదరణ పొందిన మరియు ప్రతిభావంతులైన భారతీయ నేపథ్య గాయని.
What is the best concert you've ever been to?,మీరు ఇప్పటివరకు చేసిన ఉత్తమ కచేరీ ఏమిటి?
ourself,మనమే
Do you know anybody who speaks five languages?,ఐదు భాషలు మాట్లాడే ఎవరైనా మీకు తెలుసా?
You shouldn't let him get away with cheating.,మీరు మోసగించడం ద్వారా ఆయన నుండి పారిపోకూడదు.
I must've left my wallet at home.,నేను ఇంట్లో నా జేబును వదిలి ఉండాలి.
Both boys and girls should take cooking class in school.,అబ్బాయిలు మరియు అమ్మాయిలు ఇద్దరూ పాఠశాలలో వంట తరగతులు తీసుకోవాలి.
The waiter came over to take away Tom's empty plate.,టోమ్ యొక్క ఖాళీ ప్లేట్ను తొలగించడానికి వంటగదివాడు వచ్చాడు.
Tom's days are numbered.,టోమ్ యొక్క రోజులు లెక్కించబడ్డాయి.
Tom threw Mary a life preserver.,టోమ్ మేరీని ఒక ప్రాణ రక్షకుడిగా విసిరాడు.
Is it OK if I eat one of these apples?,నేను ఈ ఆపిల్ ఒకటి తినడానికి ఉంటే అది సరే?
The two answers are both correct.,రెండు సమాధానాలు సరైనవి.
"Whether you believe it or not, I want to get this thing over with as much as you do.","మీరు నమ్మినా, చేయకపోయినా, నేను మీరు చేసినంత మాత్రాన ఈ విషయాన్ని పొందాలనుకుంటున్నాను."
Tom let me stay with Mary.,టామ్ నన్ను మేరీతో కలిసి ఉండనివ్వండి.
It could be a weapon.,ఇది ఆయుధం కావచ్చు.
I don't think they're safe.,వారు సురక్షితంగా ఉన్నారని నేను అనుకోను.
I know you hate it.,మీరు దానిని ద్వేషిస్తున్నారని నాకు తెలుసు.
Tom shouted at us in a gruff voice.,టామ్ చిరాకు గొంతులో మా వైపు అరిచాడు.
I'll arrive on October 20th.,నేను అక్టోబర్ 20 న వస్తాయి.
She is anxious about your health.,ఆమె మీ ఆరోగ్యం గురించి ఆత్రుతగా ఉంది.
"It was inevitable, wasn't it?","ఇది అనివార్యం, కాదా?"
Tom was smart enough to escape.,టామ్ తప్పించుకోవడానికి తగినంత తెలివిగా ఉన్నాడు.
I want you to have a copy of this.,నేను మీరు ఈ ఒక కాపీని కలిగి అనుకుంటున్నారా.
Tom has got nowhere to go.,టామ్ ఎక్కడికి వెళ్ళలేదు.
I don't know how much money Tom and Mary spend.,టోమ్ మరియు మేరీ ఎంత డబ్బు ఖర్చు చేస్తారో నాకు తెలియదు.
They say that Isabela died.,వారు ఇసాబెల్లా చనిపోయిన చెప్పారు.
Tom and Mary are planning to get a divorce.,టామ్ మరియు మేరీ విడాకులు తీసుకోవాలని ప్లాన్ చేస్తున్నారు.
Tom is the first guy Mary has really been interested in since she broke up with John.,జాన్ జాన్‌తో విడిపోయినప్పటి నుండి మేరీకి నిజంగా ఆసక్తి ఉన్న మొదటి వ్యక్తి టామ్.
The pond has frozen over.,చెరువు స్తంభింపజేసింది.
She's the French ambassador to Portugal.,ఆమె పోర్చుగల్‌లోని ఫ్రెంచ్ రాయబారి.
Tom told me you were afraid.,టామ్ నాకు భయపడ్డాడని చెప్పాడు.
I hate this game.,నేను ఈ ఆటను ద్వేషిస్తున్నాను.
We have don't get many opportunities to speak French.,ఫ్రెంచ్ మాట్లాడటానికి మాకు చాలా అవకాశాలు రాలేదు.
Could you give me a lift home?,మీరు నాకు లిఫ్ట్ హోమ్ ఇవ్వగలరా?
Both Tom and I'll be busy this afternoon.,టోమ్ మరియు నేను ఈ మధ్యాహ్నం ఇద్దరూ బిజీగా ఉంటాము.
You're avoiding me.,మీరు నన్ను నివారించేందుకు.
He is no ordinary man.,అతను సాధారణ మనిషి కాదు.
The policeman put handcuffs on Tom.,పోలీసులు టామ్ను నిర్వహించారు.
I'll go if you will.,మీరు అనుకుంటే నేను వెళ్తాను.
Can you tell us what it is?,ఇది ఏమిటి మీరు మాకు చెప్పగలరా?
I think Tom is gone.,నేను టామ్ పోయాడని అనుకుంటున్నాను.
I had to drop out of college and get a job.,నేను కాలేజీ నుండి తప్పుకొని ఉద్యోగం పొందవలసి వచ్చింది.
Tom tricked Mary into paying for his ticket.,టామ్ తన టికెట్ కోసం మేరీని మోసగించాడు.
Tom refused to answer our questions.,టామ్ మా ప్రశ్నలకు సమాధానం ఇవ్వడానికి నిరాకరించాడు.
"I admit, I'm not the tidiest person in the world.","నేను ఒప్పుకుంటాను, నేను ప్రపంచంలో ఉత్తమ వ్యక్తి కాదు."
Meeting Tom was quite an experience for me.,టామ్‌ను కలవడం నాకు చాలా అనుభవం.
I don't like being treated like a child.,నేను చిన్నపిల్లలా వ్యవహరించడం ఇష్టం లేదు.
Do you know this part of the city very well?,నగరంలోని ఈ భాగం మీకు బాగా తెలుసా?
"These aren't yours, are they?",ఇవి మీవి కాదా?
Tom said hi to me in French.,టోమ్ నాకు ఫ్రెంచ్లో హలో చెప్పాడు.
where is your sister studying,మీ చెల్లి ఎక్కడ చదువుతోంది
We go fishing together once in a while.,మేము ఒక్కసారి కలిసి చేపలు పట్టడానికి వెళ్తాము.
What does this machine do exactly?,ఈ యంత్రం సరిగ్గా ఏమి చేస్తుంది?
They arrived at the hotel.,వారు హోటల్ వద్ద వచ్చారు.
Did Tom tell you he's studying French?,అతను ఫ్రెంచ్ నేర్చుకుంటున్నాడని టామ్ మీకు చెప్పాడు?
I want to be ready for anything.,నేను ఏదైనా కోసం సిద్ధంగా ఉండాలనుకుంటున్నాను.
Tom asked Mary to wait for him here.,టోమ్ మేరీని ఇక్కడే వేచి ఉండమని కోరాడు.
What are the languages do you know?,మీరు ఏ భాషలు మాట్లాడతారు?
The only spice Tom puts on meat is pepper.,మాంసం మీద టామ్ మాత్రమే మసాలా పుచ్చకాయలు.
Everybody jumped into the pool.,అందరూ పూల్ లోకి దూకింది.
Tom knows the rules.,టామ్ నియమాలను తెలుసు.
"She is from Hokkaido, but is now living in Tokyo.","ఆమె హక్కైడో నుండి, కానీ ఇప్పుడు టోక్యోలో నివసిస్తుంది."
I think I feel better.,నేను బాగానే ఉన్నాను.
I will win the game next time.,నేను తదుపరిసారి ఆట గెలుచుకున్న కాదు.
Tom is doing an exemplary job.,టామ్ ఒక ఉదాహరణ ఉద్యోగం చేస్తోంది.
We weren't prepared for what happened.,మేము ఏమి జరిగిందో కోసం సిద్ధంగా లేము.
Why don't we have dinner?,మనకు ఎందుకు విందు లేదు?
He often gets sick.,అతను తరచుగా అనారోగ్యానికి గురవుతాడు.
The couple broke off their engagement.,ఈ జంట వారి నిశ్చితార్థం ముగిసింది.
Why didn't you say goodbye?,ఎందుకు మీరు వీడ్కోలు చెప్పలేదు?
Tom asked us not to make any noise.,టామ్ శబ్దం చేయవద్దని మాకు చెప్పాడు.
There are three printing presses in the workshop.,వర్క్‌షాప్‌లో మూడు ప్రింటింగ్ ప్రెస్‌లు ఉన్నాయి.
Can you imagine what life would be like without television?,టెలివిజన్ లేకుండా జీవితం ఎలా ఉంటుందో ఊహించగలరా?
Tom sometimes agrees with me.,టామ్ కొన్నిసార్లు నాతో అంగీకరిస్తాడు.
I don't think that everyone is here yet.,అందరూ ఇంకా ఇక్కడ ఉన్నారని నేను అనుకోను.
Should I help Tom with his homework?,నేను టామ్కు తన ఇంటి పనులతో సహాయం చేయాలా?
What would you do in my position?,నా స్థానంలో మీరు ఏమి చేస్తారు?
How's your day going?,మీ రోజు ఎలా ఉంది?
Tom didn't say how he planned to get there.,టామ్ అతను అక్కడికి ఎలా వెళ్ళాలో ప్లాన్ చేయలేదు.
He was wearing a tuxedo.,అతను ఒక టాక్సీడో ధరించారు.
We kept together for safety.,మేము భద్రత కోసం కలిసి ఉంచారు.
Shadow him.,అతనిని నీడ.
I don't think I can do everything by myself.,నేను ప్రతిదాన్ని స్వయంగా చేయగలనని నేను అనుకోను.
Tom is going to miss you.,టోమ్ మిమ్మల్ని మిస్ అవుతాడు.
I'm very glad that I didn't do that.,నేను అలా చేయనందుకు చాలా సంతోషంగా ఉంది.
Bring me the newspaper.,నాకు వార్తాపత్రిక తీసుకురండి.
Please write to me when you get there.,మీరు అక్కడికి చేరుకున్నప్పుడు నాకు వ్రాయండి.
Tom asked me to carry his suitcase.,టోమ్ తన సంచిని తీసుకోవాలని కోరాడు.
Tom fell through the ice.,టామ్ మంచు గుండా పడిపోయాడు.
Tom has never driven a car before.,టామ్ ఇంతకు ముందెన్నడూ కారు నడపలేదు.
Suneetha is trying to learn Tamil.,సునితా తమిళం నేర్చుకోవడానికి ప్రయత్నిస్తున్నారు.
Tom is most likely eating now.,టామ్ ఇప్పుడు ఎక్కువగా తినడం.
It's going to be a long trip.,ఇది సుదీర్ఘ ప్రయాణం అవుతుంది.
All of the men were dressed similarly to Tom.,అన్ని పురుషులు టామ్ లాగా దుస్తులు ధరించారు.
I've already spoken to Tom about that.,నేను ఇప్పటికే టామ్తో దాని గురించి మాట్లాడాను.
Tom loved the song even though the lyrics were in a language he didn't understand.,సాహిత్యం తనకు అర్థం కాని భాషలో ఉన్నప్పటికీ టామ్ ఈ పాటను ఇష్టపడ్డాడు.
Tom said he didn't know how to swim very well.,టామ్ తనకు బాగా ఈత కొట్టడం తెలియదని చెప్పాడు.
We traveled to Mexico by plane.,మేము మెక్సికోకు వెళ్లింది.
Washington was the most famous man in America.,వాషింగ్టన్ అమెరికాలో అత్యంత ప్రసిద్ధ వ్యక్తి.
Tom was home on Monday.,టామ్ సోమవారం ఇంటికి వచ్చాడు.
Tom is a hot-blooded individual.,టామ్ హాట్ బ్లడెడ్ వ్యక్తి.
We've hired a new coach.,మేము కొత్త కోచ్‌ను నియమించాము.
I don't find that very funny.,నేను చాలా హాస్యాస్పదంగా కనిపించడం లేదు.
I like your work.,మీ పని నాకు చాలా ఇష్టం.
Tom says his left leg hurts.,టామ్ తన ఎడమ కాళ్ళకు నొప్పి ఉందని చెప్పాడు.
Tom will always remember Mary.,టోమ్ ఎల్లప్పుడూ మేరీని గుర్తుంచుకుంటాడు.
Brother,సోదరుడు
Where are you located?,మీరు ఎక్కడ ఉన్నారు?
Tom sometimes agrees with me.,కొన్నిసార్లు టామ్ నాతో అంగీకరిస్తాడు.
Where are you from..?,మీరు ఎక్కడ నుండి?
The doctor took his pulse.,డాక్టర్ అతని పల్స్ తీసుకుంది.
We've been asked to help.,వారు మాకు సహాయం కోరారు.
"I will accept the work, provided that you help me.",మీరు నాకు సహాయం చేస్తే నేను పనిని అంగీకరిస్తాను.
He is a man of his word.,అతను తన మాటలోని వ్యక్తి.
Tom read Mary a bedtime story.,టోమ్ మేరీ నిద్రలో ఒక కథ చదివాడు.
It's an illusion.,ఇది ఒక భ్రమ.
Tom said he wondered if Mary and I'd be able to do that by ourselves.,టామ్ మాట్లాడుతూ మేరీ మరియు నేను దానిని మనమే చేయగలమా అని ఆలోచిస్తున్నానని చెప్పాడు.
Why didn't you say goodbye?,ఎందుకు మీరు వీడ్కోలు చెప్పలేదు?
President Monroe was a slave-owner.,అధ్యక్షుడు మోన్రో ఒక బానిస యజమాని.
Tom lived in Boston when he was a child.,టామ్ చిన్నతనంలో బోస్టన్‌లో నివసించాడు.
Tom wanted to quit smoking.,టామ్ ధూమపానం విడిచిపెట్టాలని కోరుకున్నాడు.
You and I should stick together.,మీరు మరియు నేను కలిసి ఉండాలి.
"If Tom is happy, I'm happy.","టామ్ సంతోషంగా ఉంటే, నేను సంతోషంగా ఉన్నాను."
I wonder whether or not Tom likes Boston.,టామ్ బోస్టన్‌ను ఇష్టపడుతున్నాడా లేదా అని నేను ఆశ్చర్యపోతున్నాను.
I'm not going to sing.,నేను పాడటం లేదు.
No one encouraged her.,ఎవరూ ఆమెను ప్రోత్సహించలేదు.
The librarian looked quite sick.,గ్రంథాలయ సంరక్షకుడు చాలా అనారోగ్యంతో కనిపించాడు.
"My mother is a teacher, too.",నా తల్లి కూడా ఉపాధ్యాయురాలు.
I remember saying that.,నేను ఏమి చెప్పాను గుర్తుంచుకో.
Tom taught me to play chess.,టోమ్ నాకు చెక్ ఆడటం నేర్పించాడు.
It's here.,అది ఇదిగో.
The doctor took his pulse.,డాక్టర్ అతని పల్స్ తీసుకున్నాడు.
Did Tom tell you he's studying French?,టామ్ అతను ఫ్రెంచ్ చదువుతున్నాడని మీకు చెప్పాడా?
Happy Birthday to you.,నీకు పుట్టిన రోజు శుభాకాంక్షలు.
Our son was killed in the war.,మా కొడుకు యుద్ధంలో చంపబడ్డాడు.
The customer is not always right.,కస్టమర్ ఎల్లప్పుడూ సరైనది కాదు.
I didn't know you'd be jealous.,మీరు అసూయపడతారని నాకు తెలియదు.
The time will come when she'll regret it.,ఆమె చింతిస్తున్న సమయం వస్తుంది.
He left his parents when he was eight years old.,అతను ఎనిమిదేళ్ళ వయసులో తల్లిదండ్రులను విడిచిపెట్టాడు.
Check it again.,మళ్ళీ తనిఖీ చేయండి.
Happy Birthday to you.,పుట్టినరోజు శుభాకాంక్షలు.
Sunil loves his mother.,సునీల్ తన తల్లిని ప్రేమిస్తాడు.
Tom's daughter is now thirteen.,టామ్ కుమార్తె ఇప్పుడు పదమూడు సంవత్సరాలు.
I want to make some changes.,నేను కొన్ని మార్పులు చేయాలనుకుంటున్నాను.
You were treated unfairly.,మీరు అన్యాయంగా చికిత్స చేశారు.
Tom will unlikely win today.,టోమ్ ఈ రోజు గెలవలేడు.
You could invite me.,మీరు నన్ను ఆహ్వానించవచ్చు.
I saw Tom in church today.,నేను టోమ్ను చర్చిలో ఈ రోజు చూశాను.
What do you think this is?,ఇది ఏమిటి?
"Unfortunately, that's true.","దురదృష్టవశాత్తు, అది నిజం."
"If he's still alive, he'd be very old by now.","అతను ఇప్పటికీ సజీవంగా ఉంటే, అతను ఇప్పుడు చాలా పాత ఉంటుంది."
Tom didn't know Mary wanted him to help her.,మేరీ తనకు సహాయం చేయాలని టామ్కు తెలియదు.
Tom should've stayed at home.,టామ్ ఇంట్లోనే ఉండి ఉండాలి.
Tom is probably still hiding.,టామ్ ఇప్పటికీ దాగి ఉండవచ్చు.
Tom wants to say hello.,టోమ్ హలో చెప్పాలనుకున్నాడు.
That man is dead.,ఆ వ్యక్తి మరణించాడు.
Our next meeting will be held next on October 20th.,మా తదుపరి సమావేశం అక్టోబర్ 20 న జరుగుతుంది.
Tom couldn't believe that someone wanted to kill him.,ఎవరైనా తనను చంపాలని కోరుకుంటున్నారని టామ్ నమ్మలేకపోయాడు.
"You live here alone, don't you?","మీరు ఇక్కడ ఒంటరిగా నివసిస్తున్నారు, లేదా?"
I heard that he left town and moved east.,అతను పట్టణం వదిలి తూర్పు వెళ్ళింది విన్నాను.
The pond has frozen over.,ఈ చెరువు మంచు ఉంది.
I have things on my mind.,నా మనస్సులో విషయాలు ఉన్నాయి.
The automobile stopped.,ఆటోమొబైల్ ఆగిపోయింది.
They're green.,వారు ఆకుపచ్చ ఉన్నాయి.
The police went over every inch of this place.,పోలీసులు ఈ స్థలం యొక్క ప్రతి అంగుళం ద్వారా వెతుకుతున్న.
I wish I had Tom's brains.,నేను టామ్ యొక్క మెదడు కలిగి ఉంటే అనుకుంటున్నారా.
Tom will always remember Mary.,టామ్ ఎల్లప్పుడూ మేరీని గుర్తుంచుకుంటాడు.
I threw the ball.,నేను బంతిని విసిరి లేదు.
I need to know who Tom is.,టామ్ ఎవరో నాకు తెలుసుకోవాలి.
Tom doesn't want to leave.,టామ్ వదిలి వెళ్ళడం ఇష్టం లేదు.
I'll be in the basement.,నేను నేలమాళిగలో ఉంటాను.
Guntur has a rich cultural heritage and a long history dating back to the ancient times.,గుంటూరుకు గొప్ప సాంస్కృతిక వారసత్వం మరియు పురాతన కాలం నాటి సుదీర్ఘ చరిత్ర ఉంది.
The couple broke off their engagement.,ఈ జంట వారి నిశ్చితార్థాన్ని విరమించుకున్నారు.
No one's hungry.,ఎవరూ ఆకలితో ఉన్నారు.
I've heard that you shouldn't eat red meat more than once a day.,మీరు ఎర్ర మాంసం రోజుకు ఒకటి కంటే ఎక్కువసార్లు తినకూడదని విన్నాను.
Your safety isn't our concern.,మీ భద్రత మా ఆందోళన కాదు.
Tom threw Mary a life preserver.,టామ్ మేరీని లైఫ్ ప్రిజర్వర్‌గా విసిరాడు.
Sister,సోదరి
Tom is the first guy Mary has really been interested in since she broke up with John.,జాన్ జాన్తో విడిపోయినప్పటి నుండి మేరీపై నిజంగా ఆసక్తి చూపిన మొదటి వ్యక్తి టామ్.
Tom certainly knew about the problem.,టోమ్ ఖచ్చితంగా సమస్య గురించి తెలుసు.
I want another beer.,నేను మరొక బీరు కావాలి.
Tom didn't seem happy to see me.,నన్ను చూడటం వల్ల టామ్ సంతోషంగా లేడు.
I've been expecting your call.,నేను మీ కాల్‌ను ఆశిస్తున్నాను.
Where do you plan to spend the summer?,వేసవిని ఎక్కడ గడపాలని మీరు ప్లాన్ చేస్తున్నారు?
It's not known how many of them survived.,వారిలో ఎంతమంది ప్రాణాలు కోల్పోయారు అనేది తెలియదు.
Tom's death was mysterious.,టామ్ మరణం మర్మమైనది.
He is no ordinary man.,అతను ఒక సాధారణ వ్యక్తి కాదు.
Tom asked me for my phone number.,టామ్ నా ఫోన్ నంబర్ అడిగారు.
Tom said hi to me in French.,టామ్ ఫ్రెంచ్‌లో నాకు హాయ్ చెప్పాడు.
Tom called me this afternoon.,ఈ మధ్యాహ్నం టోమ్ నాకు ఫోన్ చేశాడు.
I see someone waving a white flag.,నేను ఒక తెల్ల జెండా ఎగురుతున్న ఎవరైనా చూస్తున్నాను.
I've been looking for Tom.,నేను టామ్ కోసం చూస్తున్నాను.
Tom has gone away.,టామ్ వెళ్లిపోయాడు.
Are you sleepy?,నిద్రోస్తుందా?
Her predictions have come true.,ఆమె అంచనాలు నిజమయ్యాయి.
I'll dream about you.,నేను మీరు గురించి కలలుకంటున్న.
Gangadhar lives with his family.,గంగాధర్ కుటుంబంతో కలిసి ఉంటున్నాడు.
I'd never seen you so afraid before.,నేను ఇంతకు ముందు మీరు భయపడి చూడలేదు.
Tom likes watching action movies.,టామ్ యాక్షన్ సినిమాలు చూడటం ఇష్టపడతాడు.
Tom and Mary are close relatives.,టామ్ మరియు మేరీ దగ్గరి బంధువులు.
You were almost in time.,మీరు దాదాపు సమయం లో ఉన్నారు.
Don't make eye contact.,కంటికి పరిచయం చేయవద్దు.
Tom asked me how many countries I'd visited.,నేను ఎన్ని దేశాలను సందర్శించానని టామ్ నన్ను అడిగాడు.
Would you like a glass of water?,మీరు ఒక గ్లాసు నీరు కావాలనుకుంటున్నారా?
Why didn't you tell us there was a witness?,సాక్షి ఉందని మీరు మాకు ఎందుకు చెప్పలేదు?
Don't stare at people.,ఇతరులను ఒకే విధంగా చూడవద్దు.
Look straight ahead.,నేరుగా ముందుకు చూడండి.
Tom is sleeping in the living room.,టామ్ లివింగ్ రూమ్‌లో నిద్రిస్తున్నాడు.
Please show me how to do that.,దయచేసి నాకు ఎలా చేయాలో చూపించు.
Today is my sixteenth birthday.,ఈ రోజు నా 16 వ పుట్టినరోజు.
Maybe they will come and maybe they won't.,బహుశా వారు వస్తారు మరియు వారు రాకపోవచ్చు.
