en,te
I must've left my wallet at home.,నేను ఇంట్లో నా జేబును వదిలి ఉండాలి.
Where did you get all this stuff?,మీరు ఈ అన్ని నుండి వచ్చింది?
That's his weak spot.,ఇది అతని బలహీనమైన స్థానం.
I think Tom is gone.,నేను టామ్ పోయాడని అనుకుంటున్నాను.
Come here.,"ఇక్కడ వస్తాయి, దయచేసి."
Tom is always crying.,టామ్ ఎప్పుడూ ఏడుస్తాడు.
We took him to the hospital.,మేము ఆసుపత్రికి అతనిని తీసుకువెళ్ళారు.
We traveled to Mexico by plane.,మేము మెక్సికోకు వెళ్లింది.
Don't dress like a tourist.,ఒక పర్యాటక వంటి దుస్తులు లేదు.
I don't support his ideas.,నేను అతని ఆలోచనలను మద్దతు లేదు.
Remember what we spoke about yesterday.,మేము నిన్న గురించి మాట్లాడిన గుర్తుంచుకో.
Give a thief enough rope and he'll hang himself.,ఒక దొంగ తగినంత తాడు ఇవ్వండి మరియు అతను వేలాడదీయబడుతుంది.
Am I making myself clear?,నేను ఏమీ చెప్పను.
Tom sometimes agrees with me.,కొన్నిసార్లు టామ్ నాతో అంగీకరిస్తాడు.
Tom's daughter is now thirteen.,టామ్ కుమార్తె ఇప్పుడు పదమూడు సంవత్సరాలు.
My doctor told me that I needed to lose some weight.,నా డాక్టర్ నాకు కొంత బరువు తగ్గాలని చెప్పాడు.
Tom was stupid enough to challenge Mary to a game of chess.,"టోమ్ ఒక మూర్ఖుడు, మేరీని ఒక చెక్ గేమ్కు సవాలు చేశాడు."
Where do you plan to spend the summer?,మీరు వేసవి ఎక్కడ గడపాలని ప్లాన్ చేస్తారు?
She drives an imported car.,ఆమె ఒక దిగుమతి కారు డ్రైవ్.
They keep calling.,వారు కాల్స్ కొనసాగించడానికి.
You can't take it with you.,మీరు మీతో తీసుకెళ్లలేరు.
"You've never had a boyfriend, have you?","మీరు ఒక ప్రియుడు ఎప్పుడూ, మీరు?"
Japan is subject to earthquakes.,జపాన్ భూకంపాలకు గురవుతోంది.
Tom doesn't want to go there alone.,టోమ్ ఒంటరిగా వెళ్ళడానికి ఇష్టపడడు.
Let's sit down on the bench.,బెంజ్ మీద కూర్చుని లెట్.
Tom should've stayed at home.,టామ్ ఇంట్లోనే ఉండి ఉండాలి.
Tom and Mary are planning to get a divorce.,టామ్ మరియు మేరీ విడాకులు తీసుకోవాలని ప్లాన్ చేస్తున్నారు.
Tom's sister paved the way for him to become a lawyer.,టోమ్ యొక్క సోదరి ఒక న్యాయవాది కావడానికి అతనికి మార్గం సుగమం చేసింది.
I want you to give a message to Tom.,మీరు టోమ్కు ఒక సందేశాన్ని ఇవ్వాలని నేను కోరుకుంటున్నాను.
I love comedies.,నేను కామెడీ ఇష్టం.
The couple broke off their engagement.,ఈ జంట వారి నిశ్చితార్థం ముగిసింది.
How much money do we need?,ఎంత డబ్బు మాకు అవసరం?
Tom is probably still hiding.,టామ్ ఇప్పటికీ దాగి ఉండవచ్చు.
He predicted she would win.,ఆమె గెలుస్తానని అతను అంచనా వేసాడు.
He often gets sick.,అతను తరచుగా అనారోగ్యంతో.
Tom said you were busy.,మీరు బిజీగా ఉన్నారని టామ్ చెప్పాడు.
The party finished at nine.,పార్టీ తొమ్మిది గంటలకు ముగిసింది.
Tom and I are going to the mall.,టామ్ మరియు నేను మాల్కు వెళ్తున్నాము.
Let's not fool ourselves.,మనల్ని మోసం చేద్దాం.
Tom noticed Mary was there.,మేరీ అక్కడ ఉన్నాడని టామ్ గమనించాడు.
I'm feeding my baby.,నేను నా బిడ్డను తిండికి ఇస్తున్నాను.
Tom wants to play tennis with Mary.,టోమ్ మేరీతో టెన్నిస్ ఆడాలనుకుంటాడు.
Ain't that cute?,ఇది cute కాదు?
Both of us should lose some weight.,మేము రెండు కొన్ని బరువు కోల్పోతారు అవసరం.
Tom is a hot-blooded individual.,టామ్ ఒక వేడి రక్తం మనిషి.
Tom thinks that he's always right.,టామ్ ఎప్పుడూ అతను సరైనవాడు అని అనుకుంటున్నాడు.
President Monroe was a slave-owner.,అధ్యక్షుడు మోన్రో ఒక బానిస యజమాని.
The sky was gray all morning.,ఆకాశం ఉదయం అంతా బూడిద రంగులో ఉంది.
They are going to send up a rocket.,వారు ఒక రాకెట్ పంపడానికి వెళ్తున్నారు.
Tom works at a nearby restaurant.,టామ్ సమీపంలోని రెస్టారెంట్లో పనిచేస్తాడు.
Stop hiding your head in the sand.,మీ తల ఇసుక లో దాచడానికి ఆపడానికి.
I helped.,నేను సహాయం.
I think that it's time for us to tell Tom the truth.,నేను టామ్కు నిజం చెప్పాల్సిన సమయం ఆసన్నమైందని అనుకుంటున్నాను.
He has a Toyota.,అతను ఒక టయోటా ఉంది.
The house requires repairs.,ఇల్లు మరమ్మతు అవసరం.
"My mother is a teacher, too.",నా తల్లి కూడా ఉపాధ్యాయురాలు.
Nobody said a thing.,ఎవరూ ఏమీ చెప్పారు.
I use Google almost every day.,నేను దాదాపు ప్రతిరోజూ గూగుల్ ఉపయోగిస్తాను.
Whales feed on small fish.,తిమింగలాలు చిన్న చేపలు తింటాయి.
Both Tom and I'll be busy this afternoon.,టోమ్ మరియు నేను ఈ మధ్యాహ్నం ఇద్దరూ బిజీగా ఉంటాము.
Don't you watch movies?,మీరు సినిమాలు చూడలేరు?
Didn't you know Tom and Mary often travel together?,టామ్ మరియు మేరీ తరచుగా కలిసి ప్రయాణిస్తున్నారని మీకు తెలుసా?
"Unfortunately, that's true.","దురదృష్టవశాత్తు, ఇది నిజం."
I don't find that very funny.,నేను చాలా హాస్యాస్పదంగా కనిపించడం లేదు.
Tom refused to help Mary.,టోమ్ మేరీకి సహాయం చేయడానికి నిరాకరించాడు.
I see life differently now.,ఇప్పుడు నేను జీవితాన్ని భిన్నంగా చూస్తున్నాను.
Who is your favorite pianist?,మీ ఇష్టమైన పియానోయిస్ట్ ఎవరు?
I saw Tom in church today.,నేను టోమ్ను చర్చిలో ఈ రోజు చూశాను.
That's what we're waiting for.,మేము ఆ వేడుక కోసం ఎదురుచూస్తున్నాము.
"Mary is a pretty girl, isn't she?","మేరీ ఒక అందమైన అమ్మాయి, ఆమె కాదు?"
I strongly suspected that he had been lying.,అతను అబద్ధం చెబుతున్నాడని నేను గట్టిగా అనుమానించాను.
Tom looked both ways before crossing the road.,రోడ్డు దాటడానికి ముందు టోమ్ రెండు మార్గాలను చూశాడు.
Shadow him.,అతనిని నీడ.
I let him get the credit.,నేను అతనికి క్రెడిట్ పొందటానికి అనుమతించారు.
Did you forget to feed the dog?,మీరు కుక్క తిండికి మర్చిపోతే?
Tom wanted to quit smoking.,టామ్ ధూమపానం విడిచిపెట్టాలని కోరుకున్నాడు.
I expect a detailed report.,నేను వివరణాత్మక నివేదిక కోసం ఆశిస్తున్నాను.
We have nothing in common.,మాకు ఏదీ లేదు.
Carry on with your work.,మీ పని కొనసాగించండి.
Tom continued laughing.,టోమ్ నవ్వుతూనే ఉన్నాడు.
How do you like that?,మీరు ఎలా అది ఇష్టం?
Tom is old enough to drive.,టామ్ డ్రైవింగ్ చేయడానికి తగినంత వయస్సులో ఉన్నాడు.
Tom and I walk to school together every morning.,నేను మరియు టామ్ ప్రతి ఉదయం కలిసి పాఠశాలకు నడుస్తాము.
Will anybody be at the station to meet me?,ఎవరైనా స్టేషన్ వద్ద నన్ను కలవడానికి ఉంటుంది?
I don't think that everyone is here yet.,నేను ప్రతి ఒక్కరూ ఇప్పటికీ ఇక్కడ ఉన్నట్లు అనుకోను.
This is the hottest summer that we have had in thirty years.,ఇది 30 సంవత్సరాలలో మేము కలిగి ఉన్న అత్యంత వేడి వేసవి.
We had a chance.,మాకు అవకాశం ఉంది.
The rice crop is poor this year.,ఈ సంవత్సరం బియ్యం పంట పేదది.
I want to write this down.,నేను ఈ వ్రాయడానికి కావలసిన.
Please forgive me. I didn't mean to be rude.,దయచేసి నన్ను క్షమించండి.
Asia is roughly four times the size of Europe.,ఆసియా ఐరోపా కంటే నాలుగు రెట్లు పెద్దది.
Tom told Mary that John was looking for her.,జాన్ అతన్ని వెతుకుతున్నట్లు టామ్ మేరీకి చెప్పాడు.
I made tea for Tom.,నేను టోమ్ కోసం టీ తయారు చేసాను.
You must get rid of such a habit.,మీరు ఆ అలవాటు వదిలించుకోవటం అవసరం.
We weren't prepared for what happened.,మేము ఏమి జరిగిందో కోసం సిద్ధంగా లేము.
What is the best concert you've ever been to?,మీరు ఎప్పుడైనా చేసిన ఉత్తమ కచేరీ ఏమిటి?
I forgot my password.,నేను నా పాస్వర్డ్ మర్చిపోయాను.
Have you spent a lot of time with Tom?,మీరు టోమ్తో చాలా సమయం గడిపారా?
I know what I want.,నేను ఏమి కోరుకుంటున్నారో నాకు తెలుసు.
I won't always be around.,నేను ఎప్పుడూ చుట్టూ ఉన్నాను.
I've been to the dentist's.,నేను దంతవైద్యుడు వెళ్ళింది.
Maybe I shouldn't have done that.,బహుశా నేను చేయకూడదు.
Where can I advertise for a used car?,నేను ఎక్కడ ఉపయోగించిన కారు కోసం ప్రకటన చేయవచ్చు?
I'm trying to stay calm.,నేను ప్రశాంతంగా ఉండటానికి ప్రయత్నిస్తాను.
Why didn't you tell me all this before?,ఎందుకు మీరు నాకు ముందు ఈ చెప్పలేదు?
Tom flew to Boston today.,టోమ్ ఈ రోజు బోస్టన్ వెళ్ళాడు.
That pen is more expensive than this one.,ఆ పెన్ ఈ కంటే ఖరీదైనది.
Tom wanted me to drive.,నేను డ్రైవ్ చేయాలనుకున్నాను.
Why do you think Tom wanted me to do that?,నేను అలా ఎందుకు చేస్తానని టామ్ అనుకున్నాడు?
I've got a pain in my side.,నా వైపున ఒక నొప్పి ఉంది.
I think I feel better.,నేను బాగానే ఉన్నాను.
I remember saying that.,నేను ఏమి చెప్పాను గుర్తుంచుకో.
The worst is behind us.,చెత్త మాకు వెనుక ఉంది.
We've hired a new coach.,మేము ఒక కొత్త కోచ్ నియమించారు.
Will you sing?,మీరు పాడగలరా?
I know Tom is talkative.,టామ్ ఒక సంభాషణకర్త అని నాకు తెలుసు.
No one encouraged her.,ఆమెను ఎవరూ ప్రోత్సహించలేదు.
I don't really want to go fishing with Tom.,నేను నిజంగా టామ్తో ఫిషింగ్ చేయడం ఇష్టం లేదు.
Tom has a kind heart.,టోమ్కు మంచి హృదయం ఉంది.
Tom said he didn't know how to swim very well.,టోమ్ బాగా ఈత నేర్చుకోలేదని చెప్పాడు.
He advised me not to believe what she says.,ఆమె మాటలను నమ్మవద్దని సలహా ఇచ్చాడు.
Take me to the Hilton Hotel.,నన్ను హిల్టన్ హోటల్కు తీసుకెళ్లండి.
We're not worried about that at all.,మేము దాని గురించి ఆందోళన లేదు.
Tom threw Mary a life preserver.,టోమ్ మేరీని ఒక ప్రాణ రక్షకుడిగా విసిరాడు.
I was very excited.,నేను చాలా సంతోషిస్తున్నాము.
I shouldn't have invited Tom to the party.,నేను టామ్ను ఒక పార్టీకి ఆహ్వానించకూడదు.
Did they ever find Tom?,వారు ఎప్పుడైనా టామ్ను కనుగొన్నారా?
Summer has just begun.,వేసవి కేవలం ప్రారంభమైంది.
It was impossible to find an answer.,దీనికి సమాధానం దొరకడం అసాధ్యం.
Why did that have to happen to us?,మనతో అలా ఎందుకు జరగాలి?
The first girl I ever kissed was Mary.,మేరీ నేను ముద్దుపెట్టిన మొదటి అమ్మాయి.
I met him just as he was coming out of school.,అతను పాఠశాల నుండి వస్తున్నప్పుడు నేను అతనిని కలుసుకున్నారు.
Tom's days are numbered.,టోమ్ యొక్క రోజులు లెక్కించబడ్డాయి.
What do you call this animal in French?,మీరు ఫ్రెంచ్ లో ఈ జంతువు పేరు ఏమిటి?
I never asked you to do that.,నేను మీరు అలా చేయమని ఎప్పుడూ అడగలేదు.
Please inform me of any change in his condition.,దయచేసి అతని పరిస్థితి ఏవైనా మార్పులు గురించి నాకు తెలియజేయండి.
I won't have time this evening.,ఈ సాయంత్రం నాకు సమయం లేదు.
I can't find Tom anywhere.,నేను ఎక్కడైనా టోమ్ను కనుగొనలేను.
Tom doesn't know I have three cats.,నాకు మూడు పిల్లులు ఉన్నాయని టామ్కు తెలియదు.
"How old are you, Tom?","టామ్, మీరు ఎంత వయస్సులో ఉన్నారు?"
Tom asked Mary some stupid questions that she refused to answer.,టోమ్ మేరీ కొన్ని అమాయక ప్రశ్నలు అడిగారు.
Tom can't whistle.,టామ్ కదిలేడు.
Tom thinks we're dead.,మేము చనిపోయినట్లు టామ్ భావిస్తాడు.
Mary demanded her money back.,మేరీ తన డబ్బును తిరిగి కోరుతూ.
Tom can't decide which approach to take.,టోమ్ ఏ విధానాన్ని తీసుకోవాలో నిర్ణయించలేడు.
Tom is walking in college premises.,టామ్ కళాశాల క్యాంపస్లో నడుస్తున్నాడు.
I don't know Malayalam.,నాకు మలయాళం అంటే ఇష్టం లేదు.
I still love you very much.,నేను ఇప్పటికీ మీరు చాలా ప్రేమ.
I want to come back next year.,నేను వచ్చే సంవత్సరం తిరిగి రావాలని.
When are we going to use it?,మేము దానిని ఎప్పుడు ఉపయోగించుకుంటాము?
That actress is as beautiful as ever.,నటి ఎప్పుడూ వంటి అందమైన ఉంది.
I don't think that Tom is ever going to get married.,టామ్ ఎప్పటికీ వివాహం చేసుకోడు అని నేను అనుకోను.
I think you should leave well enough alone.,నేను మీరు ఒంటరిగా తగినంత వదిలి ఉండాలి అనుకుంటున్నాను.
He was invited.,అతను ఆహ్వానించారు.
It's not known how many of them survived.,వారిలో ఎంతమంది ప్రాణాలు కోల్పోయారు అనేది తెలియదు.
Tom's handwriting is unreadable.,టోమ్ యొక్క చేతిరాత చదవలేనిది.
I don't think Tom killed Mary.,నేను టామ్ మేరీ చంపిన అనుకోను.
He came back home a while ago.,అతను కొద్దికాలం క్రితం ఇంటికి తిరిగి వచ్చాడు.
Tom asked me for my phone number.,టోమ్ నా ఫోన్ నంబర్ కోరాడు.
We're coming.,మేము లోపలికి వస్తున్నాము.
I wonder which way is the shortest.,నేను మార్గం చిన్నది ఏమి wondering.
"Lata Mangeshkar is a legendary Indian playback singer who has sung in over a thousand Hindi films, as well as in various other Indian and foreign languages.","లతా మంగేష్కర్ ఒక పురాణ భారతీయ ప్లేబ్యాక్ గాయకుడు, ఆమె వేయికి పైగా హిందీ చిత్రాలలో, అలాగే అనేక ఇతర భారతీయ మరియు విదేశీ భాషలలో పాడాడు."
Vijayawada is situated on the banks of the Krishna River.,విజయ్వాడా కృష్ణ నది ఒడ్డున ఉంది.
"Many men want to be thin, too.",చాలామంది పురుషులు కూడా సన్నగా ఉండాలని కోరుకుంటారు.
Shreya Ghoshal is a very popular and talented Indian playback singer.,"శ్రీయ ఘోషల్ ఒక ప్రముఖ, ప్రతిభావంతులైన భారతీయ నేపథ్య గాయకుడు."
I warned Tom not to come here.,నేను ఇక్కడకు రావద్దని టామ్కు హెచ్చరించాను.
You two may leave.,మీరు రెండు వెళ్ళవచ్చు.
Tom wasn't smiling when he entered the room.,అతను గదిలోకి ప్రవేశించినప్పుడు టామ్ నవ్వలేదు.
What can it be?,ఇది ఏమిటి?
We need three cups.,మేము మూడు కప్పులు అవసరం.
How to learn English grammar in 30 days?,30 రోజుల్లో ఇంగ్లీష్ వ్యాకరణం నేర్చుకోవడం ఎలా?
It's likely a mistake.,ఇది ఒక తప్పు.
"Nellore has a rich history and cultural heritage, with several historical landmarks and temples that attract tourists from all over the world.","నెల్లూర్ లో గొప్ప చరిత్ర, సాంస్కృతిక వారసత్వం ఉంది. ప్రపంచం నలుమూలల నుండి పర్యాటకులను ఆకర్షించే అనేక చారిత్రక ప్రదేశాలు, దేవాలయాలు ఉన్నాయి."
He left his parents when he was eight years old.,అతను ఎనిమిదేళ్ల వయసులో తన తల్లిదండ్రులను విడిచిపెట్టాడు.
I got up at 8 o'clock today.,నేను ఉదయం 8 గంటలకు మేల్కొన్నాను.
I'm sure of this.,నేను ఖచ్చితంగా ఉన్నాను.
Tom will need to do that sooner or later.,టామ్ ముందుగానే లేదా తరువాత చేయవలసి ఉంటుంది.
I know you can't wait.,మీరు వేచి కాదు తెలుసు.
Her explanation of the problem was nonsense.,ఆమె సమస్యకు వివరణాత్మకమైనది కాదు.
We were supposed to tell everyone to leave.,మేము ప్రతి ఒక్కరూ వెళ్ళి చెప్పాలి.
What did you cook for dinner?,మీరు విందు కోసం ఏమి ఉడికించాలి?
I've heard this joke before.,నేను ఈ జోక్ ముందు విన్నాను.
Where are you from..?,మీరు ఎక్కడ నుండి?
ram kills ravana.,రామ్ రావనాను చంపాడు.
Free books available,బైబిలు ఉచితంగా లభిస్తుంది.
Telugu is known as italian of the east.,తెలంగాణను తూర్పు ఇటాలియన్ అని పిలుస్తారు.
What are the languages do you know?,మీరు ఏ భాషలు మాట్లాడతారు?
Hindi language is known as Hindustan ki Bhasha.,హిందీ హిందూస్తాన్ భాష.
Going to Nellore to Vellore.,వారు నెల్లోర్ నుండి Valar వెళ్తున్నారు.
I am not a foodie.,నేను ఒక ఫుడ్ అభిమానిని కాదు.
I don't think they're safe.,వారు సురక్షితంగా కాదని నేను అనుకుంటున్నాను.
I don't know what you want me to do.,నేను ఏమి చేయాలనుకుంటున్నారో నాకు తెలియదు.
I don't think Tom is coming to our rescue.,టోమ్ మన రక్షకుడిగా వస్తున్నట్లు నేను అనుకోను.
The city has a railway station that is part of the South Central Railway network.,ఈ నగరంలో దక్షిణ సెంట్రల్ రైల్వే నెట్వర్క్లో భాగమైన రైల్వే స్టేషన్ ఉంది.
Tom says Mary wasn't at the meeting.,మేరీ సమావేశంలో లేడని టామ్ చెప్పాడు.
She told me you were sick.,ఆమె మీరు అనారోగ్యంతో అని నాకు చెప్పారు.
Tom put the map on the table.,టోమ్ మ్యాప్ను టేబుల్ మీద పెట్టాడు.
You're avoiding me.,మీరు నన్ను నివారించేందుకు.
Put it on my tab.,నా ఖాతాలోకి చాలు.
Guntur has a rich cultural heritage and a long history dating back to the ancient times.,గుంటూరు లో గొప్ప సాంస్కృతిక వారసత్వం మరియు పురాతన కాలం నాటి సుదీర్ఘ చరిత్ర ఉంది.
A vibrant city with a rich cultural heritage and a thriving economy.,"ఒక శక్తివంతమైన నగరం, గొప్ప సాంస్కృతిక వారసత్వం మరియు వృద్ధి చెందుతున్న ఆర్థిక వ్యవస్థ."
"It is a prime residential area that is known for its upscale homes, restaurants, and shopping centers.","ఇది హై-ఎండ్ ఇళ్ళు, రెస్టారెంట్లు మరియు షాపింగ్ మాల్స్ కోసం ప్రసిద్ధి చెందిన ప్రధాన నివాస ప్రాంతం."
"S. P. Balasubrahmanyam, was a legendary Indian playback singer and music composer who primarily worked in the Tamil, Telugu, Kannada, Hindi, and Malayalam film industries.","ఎస్. పి. బాలసూబ్రహ్మణ్యం, ప్రముఖ భారతీయ నేపథ్య గాయకుడు మరియు సంగీత స్వరకర్త, తమిళ, తెలంగాణ, కన్నడ, హిందీ మరియు మలయాళం చిత్ర పరిశ్రమలలో ప్రధానంగా పనిచేశారు."
That's precisely what Tom did.,టామ్ అదే చేశాడు.
I think what you did was a mistake.,నేను మీరు చేసిన తప్పు అని అనుకుంటున్నాను.
Tom is signing documents.,టామ్ పత్రాలను సంతకం చేస్తోంది.
We began kissing.,మేము ముద్దు పెట్టుకోవడం మొదలుపెట్టాము.
We go to school together.,మేము కలిసి పార్టీకి వెళ్తాము.
We've been asked to help.,వారు మాకు సహాయం కోరారు.
Are you staying for dinner?,మీరు విందు కోసం ఉండడానికి?
Tom is in the prime of his life.,టోమ్ తన జీవితానికి కేంద్రంగా ఉన్నాడు.
Tom said hi to me in French.,టోమ్ నాకు ఫ్రెంచ్లో హలో చెప్పాడు.
Tom can't help us today.,టోమ్ ఈ రోజు మాకు సహాయం చేయలేడు.
Which umbrella is yours?,మీ గొడుగు ఏమిటి?
Tom wanted me to do that for him.,టోమ్ నేను అతని కోసం అలా చేయాలనుకున్నాను.
I haven't talked to Tom in a very long time.,నేను చాలా కాలంగా టామ్తో మాట్లాడలేదు.
Tom is a much better singer than I am.,టోమ్ నాకన్నా మంచి గాయకుడు.
Tom told me the book was interesting.,పుస్తకం ఆసక్తికరంగా ఉందని టామ్ నాకు చెప్పాడు.
Are you still interested in working for us?,మీరు ఇప్పటికీ మా కోసం పని అనుకుంటున్నారా?
I can't let you go alone.,నేను మీరు ఒంటరిగా వెళ్ళి కాదు.
Tom says Mary often eats bananas.,మేరీ తరచుగా కారట్ తింటున్నట్లు టామ్ చెప్పారు.
Tom doesn't want to do his homework right now.,టామ్ తన ఇంటి పనిని ప్రస్తుతం చేయాలనుకోవడం లేదు.
Tom is a talented young man.,టామ్ ఒక ప్రతిభావంతులైన యువకుడు.
Tom said that he had been busy.,టామ్ అతను బిజీగా ఉన్నాడని చెప్పాడు.
How do I know you didn't do it?,నేను ఎలా మీరు ఈ చేయలేదు తెలుసు?
I'm quite lazy.,నేను చాలా నిబద్ధతగా ఉన్నాను.
Why aren't you wearing your wedding ring?,ఎందుకు మీరు మీ వివాహ రింగ్ ధరించలేదు?
I'd forgotten about that.,నేను దాని గురించి మర్చిపోయాను.
I just need to blow off some steam.,నేను కొన్ని ఆవిరి పేల్చి అవసరం.
You should marry Tom.,మీరు టామ్ను వివాహం చేసుకోవాలి.
I'm glad to hear you're better.,మీరు బాగా ఉన్నాయని వినడానికి నేను సంతోషంగా ఉన్నాను.
Tom doesn't have many books.,టామ్కు చాలా పుస్తకాలు లేవు.
Tom isn't having fun.,టామ్ హాస్యాస్పదంగా లేదు.
Please keep this a secret.,దయచేసి ఈ రహస్య ఉంచండి.
"S. P. B sang over 40,000 songs in various languages and was one of the most versatile and popular singers of his time.","ఎస్.పి.బి. వేర్వేరు భాషల్లో 40,000 పాటలు పాడింది మరియు తన కాలంలోని అత్యంత బహుముఖ మరియు ప్రసిద్ధ గాయకులలో ఒకరు."
"Rajinikanth is a popular Indian actor who has worked in Tamil, Telugu, Hindi, Kannada, and other Indian languages films.","రాజ్నికాంత్ ఒక ప్రముఖ భారతీయ నటుడు. తమిళ, తెలంగాణ, హిందీ, కన్నడ, ఇతర భారతీయ భాషా చిత్రాలలో నటించాడు."
Tom got in his car and left.,టామ్ తన కారు నుండి బయటకు వచ్చి వెళ్లిపోయాడు.
Tom wanted to talk to Mary face to face.,టోమ్ మేరీతో ముఖాముఖి మాట్లాడాలనుకున్నాడు.
Don't come dressed like bums.,ఒక బూడిద వంటి దుస్తులు లేదు.
Tom showed Mary the scar on his leg.,టోమ్ తన కాళ్ళపై ఉన్న స్థలాన్ని మేరీకి చూపించాడు.
Tom can't even write his own name yet.,టామ్ ఇప్పటికీ తన పేరు కూడా రాయలేడు.
Tom handed Mary a check for half a million dollars.,టోమ్ మేరీకి ఒక అర్ధ మిలియన్ డాలర్ల చెక్ ఇచ్చాడు.
Tom asked me to carry his suitcase.,టోమ్ తన సంచిని తీసుకోవాలని కోరాడు.
I didn't get the joke.,నేను జోక్ అర్థం లేదు.
Naga Venkata Sai is a multi-talented individual with a diverse range of skills.,నాగ వెంకట్ సాయి అనే వ్యక్తి విభిన్న నైపుణ్యాలతో కూడిన బహుముఖ విద్యావేత్త.
How are you,ఎలా మీరు?
Who taught Tom how to speak French?,టోమ్ ఫ్రెంచ్ మాట్లాడటం ఎలా నేర్చుకున్నాడు?
I swim in the sea every day.,నేను ప్రతి రోజు సముద్రంలో ఈత.
Tom popped into the supermarket on his way home to buy some milk.,"టామ్ సూపర్ మార్కెట్లోకి ప్రవేశించాడు, అతను ఇంటికి వెళ్లి కొంత పాలు కొనుగోలు చేశాడు."
"K. S. Chitra has won numerous awards for her contribution to music including six National Film Awards, five Filmfare Awards South, and several state government awards.","సంగీతానికి ఆమె చేసిన కృషికి ఆరు జాతీయ చలనచిత్ర అవార్డులు, ఐదు ఫిల్మ్ఫేర్ అవార్డులు దక్షిణ మరియు అనేక రాష్ట్ర ప్రభుత్వ అవార్డులతో సహా అనేక అవార్డులను గెలుచుకుంది."
I see someone waving a white flag.,నేను ఒక తెల్ల జెండా ఎగురుతున్న ఎవరైనా చూస్తున్నాను.
Tom has a high fever.,టామ్కు అధిక జ్వరం ఉంది.
Tom says he's won.,అతను గెలిచినట్లు టామ్ చెప్పాడు.
I wasn't looking at you.,నేను మీరు చూడటం లేదు.
Let's not start a fight.,పోరాటం ప్రారంభిద్దాం.
Who didn't write his name?,ఎవరు తన పేరు వ్రాయలేదు?
The owl gave a loud screech.,ఈ పావురం పెద్ద శబ్దం చేసింది.
Today is my sixteenth birthday.,ఈ రోజు నా 16 వ పుట్టినరోజు.
I know you're afraid of heights.,మీరు ఎత్తు భయపడ్డారు ఉన్నాయి తెలుసు.
I want you to have a copy of this.,నేను మీరు ఈ ఒక కాపీని కలిగి అనుకుంటున్నారా.
"I couldn't sleep last night, so I decided to watch a horror movie.","నేను నిన్న రాత్రి నిద్ర కాలేదు, కాబట్టి నేను ఒక భయానక చిత్రం చూడటానికి నిర్ణయించుకుంది."
Tom said he wondered if Mary and I'd be able to do that by ourselves.,మేరీ మరియు నేను మేమే చేయగలమా అని ఆలోచిస్తున్నారని టామ్ చెప్పాడు.
Tom cut off Mary's head.,టోమ్ మేరీ తల కత్తిరించాడు.
The new telescope was shipped in a huge wooden box.,కొత్త టెలిస్కోప్ను ఒక పెద్ద చెక్క పెట్టెలో రవాణా చేశారు.
Shall we take a taxi?,మేము ఒక టాక్సీ తీసుకోవాలని?
I threw the ball.,నేను బంతిని విసిరి లేదు.
"You can pretend to be serious, but you can't pretend to be funny.","మీరు తీవ్రమైన నటిస్తారు, కానీ మీరు ఫన్నీ నటిస్తారు కాదు."
What would you like to buy your mother for her birthday?,మీరు మీ తల్లి పుట్టినరోజు కోసం ఏమి కొనుగోలు అనుకుంటున్నారా?
It's too painful.,ఇది చాలా బాధాకరమైనది.
Maybe we should stop at a gas station to ask for directions.,మేము మార్గదర్శకాలను అడగడానికి గ్యాస్ స్టేషన్ వద్ద ఆపడానికి కలిగి.
I'm very glad that I didn't do that.,నేను అలా చేయలేదు కాబట్టి నేను సంతోషంగా ఉన్నాను.
Mom did not mention it.,నా తల్లి అది ప్రస్తావించలేదు.
Do you have blankets?,మీరు దుప్పట్లు కలిగి?
Tom didn't need to explain it to me.,టోమ్ నాకు దానిని వివరించాల్సిన అవసరం లేదు.
I did what Tom asked me to do.,నేను టోమ్ నన్ను అడిగినట్లు చేసాను.
Tom asked me how many countries I'd visited.,నేను ఎన్ని దేశాలను సందర్శించానని టామ్ నన్ను అడిగాడు.
I can't even remember what Tom looks like.,నేను టామ్ ఎలా కనిపిస్తుందో గుర్తు లేదు.
Is that tall man this boy's father?,ఆ పొడవైన వ్యక్తి ఈ బాలుడు తండ్రి?
Can somebody get me a towel?,ఎవరైనా నాకు ఒక తువ్వాళ్లు పొందవచ్చు?
We must stop Tom before he kills himself.,అతను ఆత్మహత్యకు ముందు మేము టామ్ను ఆపాలి.
Meeting Tom was quite an experience for me.,టోమ్ను కలవడం గొప్ప అనుభవం.
Tom is wearing an expensive suit.,టామ్ ఖరీదైన దుస్తులు ధరించాడు.
I understand your problem.,నేను మీ సమస్య అర్థం.
Tom knows the rules.,టామ్ నియమాలను తెలుసు.
"You'll be on time, won't you?","మీరు అక్కడ సమయం ఉంటుంది, మీరు కాదు?"
It was eighty meters long.,ఇది ఎనభై మీటర్ల పొడవు.
I'll never forget going to Hawaii with her.,నేను ఆమెతో హవాయి వెళ్ళడం మర్చిపోతే ఎప్పుడూ.
They sat down.,వారు కూర్చున్నారు.
Tom left his hat in my room.,టోమ్ తన టోపీని నా గదిలో వదిలిపెట్టాడు.
Do you need it now?,మీరు ఇప్పుడు ఈ అవసరం?
He was wearing a tuxedo.,అతను ఒక టాక్సీడో ధరించారు.
